antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_len,consequent_len,consequent_item,count,antecedent_count,confidence_lower_bound,antecedents_str,consequent_str,min_support,min_confidence,min_lift,max_antecedent_len
"frozenset({'hashtag=vanilla', 'hashtag=اليوم_وكل_يوم', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.07042253521126761,1.0,2.9583333333333335,0.046617734576472926,inf,0.7121212121212122,3,1,avg_view_rate,5,5,0.565508505247919,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=كيك'}),frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,1,1,avg_view_rate,7,8,0.5291051942301385,{hashtag=كيك},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=كيك', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,2,1,avg_view_rate,7,8,0.5291051942301385,"{hashtag=today_and_everyday, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=قهوة'}),frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,1,1,avg_view_rate,7,8,0.5291051942301385,{hashtag=قهوة},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,2,1,avg_view_rate,7,8,0.5291051942301385,"{hashtag=today_and_everyday, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=coffee'}),frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,1,1,avg_view_rate,7,8,0.5291051942301385,{hashtag=coffee},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,2,1,avg_view_rate,7,8,0.5291051942301385,"{hashtag=coffee, hashtag=today_and_everyday}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,2,1,avg_view_rate,7,8,0.5291051942301385,"{hashtag=coffee, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.09859154929577464,0.8749999999999999,2.5885416666666665,0.060503868280103144,5.2957746478873196,0.6916099773242629,3,1,avg_view_rate,7,8,0.5291051942301385,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=كيك'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,2,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=vanilla, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=كيك', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,2,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=coffee}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=coffee, hashtag=today_and_everyday}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=كيك', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=coffee, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,2,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=قهوة', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=coffee, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=today_and_everyday, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=كيك', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=قهوة, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,2,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=vanilla}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=today_and_everyday, hashtag=vanilla}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=كيك', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.056338028169014086,0.3380281690140845,0.056338028169014086,1.0,2.9583333333333335,0.03729418766117834,inf,0.7014925373134329,3,1,avg_view_rate,4,4,0.5100999795960008,"{hashtag=cake, hashtag=vanilla, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=cake'}),frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,1,1,avg_view_rate,6,7,0.4868654966809702,{hashtag=cake},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,2,1,avg_view_rate,6,7,0.4868654966809702,"{hashtag=cake, hashtag=today_and_everyday}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=كيك', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,2,1,avg_view_rate,6,7,0.4868654966809702,"{hashtag=cake, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=كيك', 'hashtag=today_and_everyday', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,3,1,avg_view_rate,6,7,0.4868654966809702,"{hashtag=cake, hashtag=today_and_everyday, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=اليوم_وكل_يوم'}),frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,1,1,avg_view_rate,6,7,0.4868654966809702,{hashtag=اليوم_وكل_يوم},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.09859154929577464,0.3380281690140845,0.08450704225352113,0.8571428571428572,2.535714285714286,0.05118032136480857,4.633802816901411,0.671875,2,1,avg_view_rate,6,7,0.4868654966809702,"{hashtag=today_and_everyday, hashtag=اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.1267605633802817,0.3380281690140845,0.09859154929577464,0.7777777777777778,2.300925925925926,0.05574290815314421,2.97887323943662,0.6474654377880185,2,1,avg_view_rate,7,9,0.4525833436728054,"{hashtag=today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'high_view_rate'}),0.04225352112676056,0.2535211267605634,0.04225352112676056,1.0,3.9444444444444446,0.031541360841102956,inf,0.7794117647058822,2,1,high_view_rate,3,3,0.4384939195509822,"{hashtag=vanilla, hashtag=vanilla_cake}",{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=vanilla_cake'})",frozenset({'high_view_rate'}),0.04225352112676056,0.2535211267605634,0.04225352112676056,1.0,3.9444444444444446,0.031541360841102956,inf,0.7794117647058822,3,1,high_view_rate,3,3,0.4384939195509822,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'high_view_rate'}),0.04225352112676056,0.2535211267605634,0.04225352112676056,1.0,3.9444444444444446,0.031541360841102956,inf,0.7794117647058822,2,1,high_view_rate,3,3,0.4384939195509822,"{hashtag=dessert, hashtag=vanilla}",{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla', 'hashtag=dessert'})",frozenset({'high_view_rate'}),0.04225352112676056,0.2535211267605634,0.04225352112676056,1.0,3.9444444444444446,0.031541360841102956,inf,0.7794117647058822,3,1,high_view_rate,3,3,0.4384939195509822,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}",{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=dessert', 'hashtag=vanilla_cake'})",frozenset({'high_view_rate'}),0.04225352112676056,0.2535211267605634,0.04225352112676056,1.0,3.9444444444444446,0.031541360841102956,inf,0.7794117647058822,3,1,high_view_rate,3,3,0.4384939195509822,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}",{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=فانيلا_اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=فانيلا_اليوم_وكل_يوم', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=cake, hashtag=coffee, hashtag=فانيلا_اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=فانيلا_اليوم_وكل_يوم', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=cake, hashtag=فانيلا_اليوم_وكل_يوم, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=قهوة', 'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=فانيلا_اليوم_وكل_يوم, hashtag=قهوة, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,2,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=vanilla, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=coffee', 'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=coffee'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,2,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=vanilla}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=vanilla}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=coffee', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=vanilla, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=coffee'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,2,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,2,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=اليوم_وكل_يوم, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=coffee', 'hashtag=قهوة'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=coffee, hashtag=اليوم_وكل_يوم, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=today_and_everyday, hashtag=اليوم_وكل_يوم, hashtag=قهوة}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=كيك'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,2,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=اليوم_وكل_يوم, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=اليوم_وكل_يوم', 'hashtag=كيك', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.04225352112676056,0.3380281690140845,0.04225352112676056,1.0,2.9583333333333335,0.027970640745883756,inf,0.6911764705882353,3,1,avg_view_rate,3,3,0.4384939195509822,"{hashtag=today_and_everyday, hashtag=اليوم_وكل_يوم, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=vanilla', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.08450704225352113,0.3380281690140845,0.07042253521126761,0.8333333333333334,2.465277777777778,0.041856774449513995,3.971830985915494,0.6492307692307693,2,1,avg_view_rate,5,6,0.4364905634363539,"{hashtag=vanilla, hashtag=فانيلا_اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=فانيلا'}),frozenset({'avg_view_rate'}),0.11267605633802817,0.3380281690140845,0.08450704225352113,0.75,2.21875,0.04641936123784963,2.647887323943662,0.6190476190476191,1,1,avg_view_rate,6,8,0.40926987910258916,{hashtag=فانيلا},{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.056338028169014086,0.7999999999999999,2.3666666666666667,0.0325332275342194,3.3098591549295766,0.6212121212121212,2,1,avg_view_rate,4,5,0.37552826411853885,"{hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم', 'hashtag=today_and_everyday'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.056338028169014086,0.7999999999999999,2.3666666666666667,0.0325332275342194,3.3098591549295766,0.6212121212121212,3,1,avg_view_rate,4,5,0.37552826411853885,"{hashtag=today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}",{avg_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=فانيلا_اليوم_وكل_يوم', 'hashtag=cake'})",frozenset({'avg_view_rate'}),0.07042253521126761,0.3380281690140845,0.056338028169014086,0.7999999999999999,2.3666666666666667,0.0325332275342194,3.3098591549295766,0.6212121212121212,2,1,avg_view_rate,4,5,0.37552826411853885,"{hashtag=cake, hashtag=فانيلا_اليوم_وكل_يوم}",{avg_view_rate},0.01,0.4,1.2,3
