antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,reliability,target_score,count_score,lift_score,recommendation_score,strength_score,recommendation_text,context_type,context_value
frozenset({'hashtag=vanilla_today_and_everyday'}),frozenset({'performance=high_view_rate'}),0.4473684210526316,0.3026315789473684,0.21052631578947367,0.47058823529411764,1.5549872122762147,0.07513850415512463,1.3172514619883042,0.6458333333333333,1,1,performance=high_view_rate,16,34,{hashtag=vanilla_today_and_everyday},weak,1.0,1.0,0.5183290707587382,0.6702046035805626,0.7317586881299833,"Try using {hashtag=vanilla_today_and_everyday}. This pattern appeared in 34 posts and 16 reached high_view_rate. Confidence: 47.1%, lift: 1.55x. Reliability: weak. Small sample size, treat as experiment.",business_name,Vanilla Palestine
frozenset({'hashtag=today_and_everyday'}),frozenset({'performance=avg_view_rate'}),0.21052631578947367,0.18421052631578946,0.09210526315789473,0.4375,2.375,0.05332409972299169,1.4502923976608186,0.7333333333333333,1,1,performance=avg_view_rate,7,16,{hashtag=today_and_everyday},weak,0.6,0.7,0.7916666666666666,0.6256250000000001,1.0390625,"Try using {hashtag=today_and_everyday}. This pattern appeared in 16 posts and 7 reached avg_view_rate. Confidence: 43.8%, lift: 2.38x. Reliability: weak. Small sample size, treat as experiment.",business_name,Vanilla Palestine
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=high_view_rate'}),0.23684210526315788,0.3026315789473684,0.10526315789473684,0.4444444444444444,1.468599033816425,0.03358725761772853,1.2552631578947369,0.41810344827586204,2,1,performance=high_view_rate,8,18,"{hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}",weak,1.0,0.8,0.48953301127214166,0.6024154589371981,0.6527106816961888,"Try using {hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}. This pattern appeared in 18 posts and 8 reached high_view_rate. Confidence: 44.4%, lift: 1.47x. Reliability: weak. Small sample size, treat as experiment.",business_name,Vanilla Palestine
frozenset({'hashtag=vanilla'}),frozenset({'performance=high_view_rate'}),0.25,0.3026315789473684,0.10526315789473684,0.42105263157894735,1.391304347826087,0.02960526315789473,1.2045454545454546,0.37499999999999994,1,1,performance=high_view_rate,8,19,{hashtag=vanilla},weak,1.0,0.8,0.463768115942029,0.5864988558352403,0.585812356979405,"Try using {hashtag=vanilla}. This pattern appeared in 19 posts and 8 reached high_view_rate. Confidence: 42.1%, lift: 1.39x. Reliability: weak. Small sample size, treat as experiment.",business_name,Vanilla Palestine
frozenset({'hashtag=dessert'}),frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,1,1,performance=high_view_rate,4,4,{hashtag=dessert},experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla_cake}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=dessert'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,2,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=dessert', 'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=dessert, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06060606060606061,0.3484848484848485,0.06060606060606061,1.0,2.869565217391304,0.03948576675849403,inf,0.6935483870967741,3,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.9565217391304347,0.8369565217391304,2.869565217391304,"Try using {hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 2.87x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
frozenset({'hashtag=vanilla_today_and_everyday'}),frozenset({'performance=high_view_rate'}),0.4090909090909091,0.3484848484848485,0.24242424242424243,0.5925925925925926,1.7004830917874394,0.09986225895316803,1.5991735537190082,0.6971153846153846,1,1,performance=high_view_rate,16,27,{hashtag=vanilla_today_and_everyday},strong,1.0,1.0,0.5668276972624798,0.7274557165861513,1.0076936840221862,"Try using {hashtag=vanilla_today_and_everyday}. This pattern appeared in 27 posts and 16 reached high_view_rate. Confidence: 59.3%, lift: 1.70x. Reliability: strong. Strong signal relative to the current dataset.",post_type,reel
frozenset({'hashtag=vanilla_cake'}),frozenset({'performance=high_view_rate'}),0.07575757575757576,0.3484848484848485,0.06060606060606061,0.8,2.2956521739130435,0.03420569329660239,3.2575757575757582,0.6106557377049181,1,1,performance=high_view_rate,4,5,{hashtag=vanilla_cake},experimental,1.0,0.4,0.7652173913043478,0.7095652173913043,1.836521739130435,"Try using {hashtag=vanilla_cake}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.30x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.07575757575757576,0.3484848484848485,0.06060606060606061,0.8,2.2956521739130435,0.03420569329660239,3.2575757575757582,0.6106557377049181,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.7652173913043478,0.7095652173913043,1.836521739130435,"Try using {hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.30x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla_cake'})",frozenset({'performance=high_view_rate'}),0.07575757575757576,0.3484848484848485,0.06060606060606061,0.8,2.2956521739130435,0.03420569329660239,3.2575757575757582,0.6106557377049181,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.7652173913043478,0.7095652173913043,1.836521739130435,"Try using {hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.30x. Reliability: experimental. Small sample size, treat as experiment.",post_type,reel
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=coffee}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
frozenset({'hashtag=قهوة'}),frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,1,1,performance=avg_view_rate,5,8,{hashtag=قهوة},medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday}",medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=coffee, hashtag=today_and_everyday}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
"frozenset({'hashtag=قهوة', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=قهوة}",medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=coffee, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
"frozenset({'hashtag=قهوة', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,2,1,performance=avg_view_rate,5,8,"{hashtag=today_and_everyday, hashtag=قهوة}",medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=today_and_everyday, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
"frozenset({'hashtag=قهوة', 'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.12121212121212122,0.21212121212121213,0.07575757575757576,0.625,2.946428571428571,0.050045913682277315,2.1010101010101008,0.7517241379310344,3,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}",medium,0.6,0.5,0.9821428571428571,0.698392857142857,1.841517857142857,"Try using {hashtag=coffee, hashtag=today_and_everyday, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 2.95x. Reliability: medium. Treat this as promising but continue testing.",post_type,reel
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=high_view_rate'}),0.24242424242424243,0.3484848484848485,0.12121212121212122,0.5,1.434782608695652,0.036730945821854905,1.303030303030303,0.39999999999999986,2,1,performance=high_view_rate,8,16,"{hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}",weak,1.0,0.8,0.47826086956521735,0.6184782608695653,0.717391304347826,"Try using {hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}. This pattern appeared in 16 posts and 8 reached high_view_rate. Confidence: 50.0%, lift: 1.43x. Reliability: weak. Small sample size, treat as experiment.",post_type,reel
frozenset({'hashtag=today_and_everyday'}),frozenset({'performance=avg_view_rate'}),0.24242424242424243,0.21212121212121213,0.10606060606060606,0.4375,2.0625,0.05463728191000918,1.4006734006734005,0.68,1,1,performance=avg_view_rate,7,16,{hashtag=today_and_everyday},weak,0.6,0.7,0.6875,0.5943750000000001,0.90234375,"Try using {hashtag=today_and_everyday}. This pattern appeared in 16 posts and 7 reached avg_view_rate. Confidence: 43.8%, lift: 2.06x. Reliability: weak. Small sample size, treat as experiment.",post_type,reel
frozenset({'hashtag=vanilla'}),frozenset({'performance=high_view_rate'}),0.2878787878787879,0.3484848484848485,0.12121212121212122,0.42105263157894735,1.2082379862700228,0.020890725436179966,1.1253443526170799,0.2420212765957445,1,1,performance=high_view_rate,8,19,{hashtag=vanilla},weak,1.0,0.8,0.40274599542334094,0.5681922196796338,0.5087317836926412,"Try using {hashtag=vanilla}. This pattern appeared in 19 posts and 8 reached high_view_rate. Confidence: 42.1%, lift: 1.21x. Reliability: weak. Small sample size, treat as experiment.",post_type,reel
"frozenset({'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=dessert, hashtag=vanilla}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,"Try using {hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06578947368421052,0.3026315789473684,0.05263157894736842,0.8,2.6434782608695655,0.032721606648199446,3.486842105263159,0.665492957746479,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.8811594202898552,0.7443478260869565,2.1147826086956525,"Try using {hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.64x. Reliability: experimental. Small sample size, treat as experiment.",sector,Cafes/Restaurants
