antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,hashtags_clean,reliability,target_score,count_score,lift_score,reliability_score,strength_score,recommendation_score,recommendation_text
"frozenset({'hashtag=كيك', 'hashtag=vanilla', 'hashtag=cake'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,3,1,performance=low_view_rate,3,4,"{hashtag=cake, hashtag=vanilla, hashtag=كيك}","cake, vanilla, كيك",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Avoid or test carefully: cake, vanilla, كيك. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك', 'hashtag=vanilla'})",frozenset({'performance=low_view_rate'}),0.05263157894736842,0.5131578947368421,0.039473684210526314,0.75,1.4615384615384615,0.012465373961218832,1.9473684210526314,0.33333333333333326,3,1,performance=low_view_rate,3,4,"{hashtag=today_and_everyday, hashtag=vanilla, hashtag=كيك}","today_and_everyday, vanilla, كيك",directional,-1.0,0.3,0.23076923076923073,0.6,1.096153846153846,0.33615384615384614,"Avoid or test carefully: today_and_everyday, vanilla, كيك. It appeared in 4 posts; 3 were low_view_rate. Confidence=75%, lift=1.46x, reliability=directional. This is a risk signal, not proof of causality."
frozenset({'hashtag=كيك'}),frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.06578947368421052,0.625,1.2179487179487178,0.01177285318559556,1.2982456140350875,0.19999999999999987,1,1,performance=low_view_rate,5,8,{hashtag=كيك},كيك,directional,-1.0,0.5,0.10897435897435892,0.6,0.7612179487179487,0.3242948717948718,"Avoid or test carefully: كيك. It appeared in 8 posts; 5 were low_view_rate. Confidence=62%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك'})",frozenset({'performance=low_view_rate'}),0.10526315789473684,0.5131578947368421,0.06578947368421052,0.625,1.2179487179487178,0.01177285318559556,1.2982456140350875,0.19999999999999987,2,1,performance=low_view_rate,5,8,"{hashtag=today_and_everyday, hashtag=كيك}","today_and_everyday, كيك",directional,-1.0,0.5,0.10897435897435892,0.6,0.7612179487179487,0.3242948717948718,"Avoid or test carefully: today_and_everyday, كيك. It appeared in 8 posts; 5 were low_view_rate. Confidence=62%, lift=1.22x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=vanilla', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.07894736842105263,0.5131578947368421,0.05263157894736842,0.6666666666666666,1.299145299145299,0.012119113573407198,1.4605263157894735,0.24999999999999992,2,1,performance=low_view_rate,4,6,"{hashtag=vanilla, hashtag=فانيلا_اليوم_وكل_يوم}","vanilla, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.4,0.14957264957264949,0.6,0.866096866096866,0.31991452991452995,"Avoid or test carefully: vanilla, فانيلا_اليوم_وكل_يوم. It appeared in 6 posts; 4 were low_view_rate. Confidence=67%, lift=1.30x, reliability=directional. This is a risk signal, not proof of causality."
frozenset({'hashtag=ramadan2025'}),frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,1,1,performance=low_view_rate,3,5,{hashtag=ramadan2025},ramadan2025,directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=cake', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=cake, hashtag=فانيلا_اليوم_وكل_يوم}","cake, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: cake, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadan2025', 'hashtag=ramadankareem'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=ramadankareem}","ramadan2025, ramadankareem",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, ramadankareem. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadan2025', 'hashtag=vanilla_today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=vanilla_today_and_everyday}","ramadan2025, vanilla_today_and_everyday",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, vanilla_today_and_everyday. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadan2025', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=فانيلا_اليوم_وكل_يوم}","ramadan2025, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadankareem', 'hashtag=vanilla_today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=ramadankareem, hashtag=vanilla_today_and_everyday}","ramadankareem, vanilla_today_and_everyday",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadankareem, vanilla_today_and_everyday. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,2,1,performance=low_view_rate,3,5,"{hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}","فانيلا_اليوم_وكل_يوم, كيك",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: فانيلا_اليوم_وكل_يوم, كيك. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=cake', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=cake, hashtag=today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}","cake, today_and_everyday, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: cake, today_and_everyday, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=كيك', 'hashtag=cake', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=cake, hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}","cake, فانيلا_اليوم_وكل_يوم, كيك",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: cake, فانيلا_اليوم_وكل_يوم, كيك. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadankareem', 'hashtag=ramadan2025', 'hashtag=vanilla_today_and_everyday'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=ramadankareem, hashtag=vanilla_today_and_everyday}","ramadan2025, ramadankareem, vanilla_today_and_everyday",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, ramadankareem, vanilla_today_and_everyday. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadan2025', 'hashtag=ramadankareem', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=ramadankareem, hashtag=فانيلا_اليوم_وكل_يوم}","ramadan2025, ramadankareem, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, ramadankareem, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadan2025', 'hashtag=vanilla_today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=ramadan2025, hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}","ramadan2025, vanilla_today_and_everyday, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadan2025, vanilla_today_and_everyday, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=ramadankareem', 'hashtag=vanilla_today_and_everyday', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=ramadankareem, hashtag=vanilla_today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم}","ramadankareem, vanilla_today_and_everyday, فانيلا_اليوم_وكل_يوم",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: ramadankareem, vanilla_today_and_everyday, فانيلا_اليوم_وكل_يوم. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
"frozenset({'hashtag=today_and_everyday', 'hashtag=كيك', 'hashtag=فانيلا_اليوم_وكل_يوم'})",frozenset({'performance=low_view_rate'}),0.06578947368421052,0.5131578947368421,0.039473684210526314,0.6,1.169230769230769,0.005713296398891961,1.2171052631578945,0.15492957746478855,3,1,performance=low_view_rate,3,5,"{hashtag=today_and_everyday, hashtag=فانيلا_اليوم_وكل_يوم, hashtag=كيك}","today_and_everyday, فانيلا_اليوم_وكل_يوم, كيك",directional,-1.0,0.3,0.08461538461538454,0.6,0.7015384615384614,0.2619230769230769,"Avoid or test carefully: today_and_everyday, فانيلا_اليوم_وكل_يوم, كيك. It appeared in 5 posts; 3 were low_view_rate. Confidence=60%, lift=1.17x, reliability=directional. This is a risk signal, not proof of causality."
